10/2/2013 6:46:19 PM	18307	6	14897
10/2/2013 6:47:29 PM	24491	27	15963
10/2/2013 6:52:30 PM	6288	18	1474
10/2/2013 6:57:29 PM	7886	50	3830
10/2/2013 7:02:29 PM	26750	225	7008
10/2/2013 7:07:29 PM	21475	420	3756
10/2/2013 7:12:30 PM	23186	298	4170
10/2/2013 7:17:29 PM	30427	254	7057
10/2/2013 7:22:29 PM	31720	147	9769
10/2/2013 7:27:29 PM	64913	211	14325
10/2/2013 7:32:29 PM	66834	177	20317
10/2/2013 7:37:29 PM	67870	210	26918
10/2/2013 7:42:29 PM	69236	189	35846
10/2/2013 7:47:29 PM	73800	121	42557
10/2/2013 7:52:29 PM	0	0	0
